eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
generic,1,PD,2,4,0,512,512,0,16,8,8,0,10,0,5,1,0,1,1,0.01772
generic,1,PD,3,4,0,64,64,64,16,8,12,0,14,0,9,1,0,1,1,0.07903
generic,1,PD,1,2,1,2.56e+05,0,0,16,8,3,0,5,0,2,1,0,1,1,0.008314
generic,1,PD,2,2,1,512,512,0,16,8,5,0,7,0,4,1,0,1,1,0.009526
generic,1,PD,3,2,1,64,64,64,16,8,7,0,9,0,6,1,0,1,1,0.01731
generic,1,PD,1,4,1,2.56e+05,0,0,16,8,5,0,7,0,2,1,0,1,1,0.009861
generic,1,PD,2,4,1,512,512,0,16,8,9,0,11,0,6,1,0,1,1,0.01927
generic,1,PD,3,4,1,64,64,64,16,8,13,0,15,0,10,1,0,1,1,0.08109
generic,1,PD,1,2,2,2.56e+05,0,0,16,8,4,0,6,0,3,1,0,1,1,0.009838
generic,1,PD,2,2,2,512,512,0,16,8,6,0,8,0,5,1,0,1,1,0.0184
generic,1,PD,3,2,2,64,64,64,16,8,8,0,10,0,7,1,0,1,1,0.02483
generic,1,PD,1,4,2,2.56e+05,0,0,16,8,6,0,8,0,3,1,0,1,1,0.01445
generic,1,PD,2,4,2,512,512,0,16,8,10,0,12,0,7,1,0,1,1,0.0251
generic,1,PD,3,4,2,64,64,64,16,8,14,0,16,0,11,1,0,1,1,0.09376
generic,1,PD,1,2,0,2.56e+05,0,0,16,8,2,0,4,0,4,1,1,1,1,0.008182
generic,1,PD,2,2,0,512,512,0,16,8,4,0,6,0,8,1,1,1,1,0.02091
generic,1,PD,3,2,0,64,64,64,16,8,6,0,8,0,12,1,1,1,1,0.03765
generic,1,PD,1,4,0,2.56e+05,0,0,16,8,4,0,6,0,6,1,1,1,1,0.01571
